,Title,Price,Bedrooms,SqFt,Location
5221,For Rent: 5 Bed 4 Bath House in Maple Ridge,3200,5,3755,"118 Avenue, Maple Ridge"
5222,furnished 3 bed + den house close to coquitlam center,3000,3,2500,"Fisher Court, Coquitlam"
5223,2br/2bath+den house base level,1700,3,1200,Westwood Plateau
5224,ONE BED ROOM GROUND LEVEL,950,1,800,"Mary Hill Road, Coquitlam"
5225,Apartment for Rent - Newer Building in Heart of Maple Ridge!,1400,1,708,Maple Ridge
5226,Beautiful 4 Bedroom House,2300,4,NA,Maple Ridge
5227,NEW <U+25BA><U+25BA><U+25BA> FANTASTIC OCEAN AND MOUNTAIN VIEWS <U+25C4><U+25C4>,2800,3,2300,Port Moody
5228,"Brookmere Towers - Extensive Renovation, Very Spacious",1950,NA,1278,"Erickson Drive, Burquitlam"
5229,A Wonderful Condo in Newport Village,1900,2,1000,"Newport Village, Port Moody"
5230,"$2000 / 4br - 1500ft2 - 6-8 Month Rental - Full Top Floor - 4 Beds, 2",2000,4,1500,Port Coquitlam
5231,2 Bedroom + 2 Bathroom Highrise With South Facing Open View,2100,2,845,Coquitlam
5232,"Stunning and Trendy, Lg. 1 Bdrm + flex Den Top Floor in Verde Building",1550,1,870,"Reeve Street, Coquitlam"
5233,2 Br Furnished. All included. Private Entrance. Private Laund,1820,2,740,Port Coquitlam Center
5234,Brand new 2Br suite,1650,NA,NA,NA
5235,3 bedrooms plus den upper level house,1650,2,1700,"Medowlark Drive, Maple Ridge"
5236,Basement suite for rent,1400,2,1200,Maple Ridge
5237,Renovated House  (Upstair 1100 sqft / downstair 1100 sqft ),2590,4,2200,"Marmont Street, Coquitlam"
5238,2 Bedroom Apartment Available November 15th 544 Sydney Ave,1885,2,NA,"Sydney Avenue, Coquitlam"
5239,Harbour Chines Area 1 Bedroom Basement Suite Available Now,1280,1,450,"Macintosh Street, Coquitlam"
5240,Maple Ridge 1 Br Basement Suite AVAILABLE NOW,890,1,750,"100 Avenue, Maple Ridge"
5241,A beautiful codo-2 BDS +2bths in Westwood Plateau,1980,2,950,"Coquitlam, Westwood Plateau"
5242,"- $1350 / 2br -  Beautiful, Bright Garden Level Suite Availab",1350,2,920,Maple Ridge
5243,New 1bdrm Appartnent For Rent!,1550,1,550,Port Coquitlam
5244,detached house for temporary renting,2000,3,NA,Maple Ridge
5245,"Unfurnished 2 bedroom, 2 bath apartment for rent",1650,2,NA,"228th Street, Maple Ridge"
5246,3 Bedroom Basment Suite,1580,3,1100,Coquitlam
5247,1 Bedroom available December 1st 751 Clarke Road,1435,1,NA,"Clarke Road, Coquitlam"
5248,Downtown Maple Ridge Fully Renovated,1250,1,NA,NA
5249,1 Bedroom Available Now 1114 Howie Ave. Coquitlam,1395,1,NA,"Howie Avenue, Coquitlam"
5250,Spacious Rental,2350,3,1550,NA
5251,Two Bedroom Basement With Amazing View,1500,2,900,Coquitlam
5252,Whole  house,2900,3,NA,Port Moody
5253,Lovely 2br suite,1650,NA,NA,NA
5254,Bright  2 bed +  2 bath Condo @ Coquitlam Centre,2100,2,899,"The High Street, Coquitlam"
5255,New 2 Bed Basement Suite NEAR WEST COAST EXPRESS in Jackson Ridge,1300,2,884,"100a Avenue, Maple Ridge"
5256,Spacious Immaculate 4 bedroom 2 Level House,2350,NA,NA,Port Coquitlam
5257,Coquitlam center house looking for rental service,3200,NA,NA,"Buoy Drive, Coquitlam"
5258,3-Bedroom Legal Basement Suite in Coquitlam Burke Mountain,1500,3,1000,"Coquitlam, Burke Mountain"
5259,1 Bedroom+Den,1800,NA,880,NA
5260,House for rent Coquitlam center near skytrain,3200,4,3000,"Buoy Drive, Coquitlam"
5261,whole house for rent,2300,4,NA,NA
5262,Ground Level 2 BR + 1 Bath - near Coquitlam Center,1350,2,836,Coquitlam Center
5263,"Full house, Renovated Upper and  Ground floors October 2018",3400,6,3000,NA
5264,Large 1 Bedroom & Den for Rent,1300,1,1200,Coquitlam
5265,3bdrm  /3 levels Townhouse at Crescentview Nov 15,2300,3,2150,"Cape Horn Avenue, Coquitlam"
5266,2 bedroom ground level suite,1200,2,NA,"Imperial Avenue, Port Coquitlam"
5267,3 bedroom and 2 bath House Rent,2500,3,1350,Coquitlam Centre
5268,"$1100 / 1br - 600ft2 - modern,spacious and furnished room in port coqu",1100,1,NA,"Marshall Avenue, Port Coquitlambc"
5269,- 2 BEDROOMS SUITE UTILITY INCLUDED NEWR HOUSE!!,1550,NA,NA,NA
5270,3 BEDROOM SUITE NEWER HOUSE @<f0><U+009F><U+0098><U+0080><f0><U+009F><U+0098><U+0080>,1800,NA,NA,NA
5271,Westwood Plateau - 3 bedrooms + Rec Room,3900,3,2475,"Panorama Drive, Coquitlam"
5272,Tastefully Updated Character Home Upper Level 3 bedrooms,2275,3,1300,"Liverpool Street, Port Coquitlam"
5273,Main floor (large 2 bedroom) renovated  for rent,1450,NA,1100,"Marmont Street, Coquitlam"
5274,Scam:$900 / 1br - Immaculate Quartz countertops with a bar eating area,900,NA,NA,"Shaughnessy Street, Coquitlam"
5275,Great Cozy 2 Bedroom Basement Suite Above Ground! 2 Bath Dec-15-Jan 1,1500,2,NA,Coquitlam
5276,Coquitlam Centre 5 Bdrm,3000,5,2400,Coquitlam Centre
5277,Central Port Moody - 7 mins from Skyrain,2000,2,785,NA
5278,Newly renovated 2 bedroom Duplex on 121 Avenue,900,2,575,"121 Avenue, Maple Ridge"
5279,3 Bedroom Ground Level Suite,1900,3,NA,Port Coquitlam
5280,3 BEDROOM SUITE NEWER HOUSE @<f0><U+009F><U+0098><U+0080><f0><U+009F><U+0098><U+0080>,1800,NA,NA,"Goldscream Cresent, Coquitlam"
5281,"1 Bdrm,  Bright Walk-Out Suite, Private Yard, Pet OK",1300,1,NA,Coquitlam
5282,Brand new 2be suite,1650,NA,1000,NA
5283,Spacious 3 Bedroom - Upper House,2500,3,1400,Maple Ridge
5284,"OVER 2,000 SQ.FT. 3 BED/3 BATH IN BURKE MOUNTAIN",2500,3,2028,"Darwin Avenue, Coquitlam"
5285,2 Bedroom & 1 Bathroom in Westwood Plateau in Coquitlam,1450,2,1000,Coquitlam
5286,<U+25AC><U+25AC><U+25BA> 1 Bedroom Apt in Coquitlam-Cottonwood Lodge - DEC 1,1125,1,NA,"Cottonwood Avenue, Coquitlam"
5287,2 Bedroom Apartment,1250,2,NA,"Manning Avenue, Coquitlam"
5288,Basement suite,1500,2,NA,NA
5289,Whole house with swimming pool&hot tub rent in Maple Ridge,3200,5,2500,Maple Ridge
5290,Basement Suite in a Great Coquitlam Neighbourhood,1550,2,800,NA
5291,Spacious 2b+2b and 1 den with stunning water and mountain view,2450,2,980,Port Moody
5292,Bright & Spacious + Fully Renovated 2bdrm + Massive Private Patio!,2500,2,900,NA
5293,3 Bedroom 2 Bathroom Rancher,1800,3,1470,"Third Avenue, Chilliwack"
5294,Large 1 bedroom basement suite for rent,1100,1,750,"Burke Mountain, Coquitlam"
5295,Beautiful upper 2 level of single house on Westwood Plateau,2995,4,3000,"Camelback Court, Coquitlam"
5296,Coquitlam Centre Windsor Gate 2 bed 2 bath $2000,2000,2,820,"Kensal Place, Coquitlam"
5297,Lovely in Burquitlam ~ Five Minutes to SFU or Lougheed Town Centre,2100,2,832,"Cochrane Avenue, Burquitlam"
5298,2 bed 1 bath ground floor suite with huge covered patio,1200,2,1000,NA
5299,"Beautiful Home upper level w/ fancy garden, 3 bedroom avail. now",2275,3,1300,Port Coquitlam
5300,Scam - Donna,500,NA,NA,NA
5301,"(VANCOUVERLUXURYRENTALS.COM)Port Moody Furnished 1BR+Den Unit, Feb 1~",2200,1,700,"Capilano Road, Port Moody"
5302,"Short term Rent, Un/furnished Full House for rent",2695,3,NA,NA
5303,2br suite,1650,2,1000,NA
5304,4 bedrooms + 2 bathrooms,2450,4,2041,Central Coquitlam
5305,Legal 2 bedroom ground level suite in great neighbourhood,1600,2,NA,Port Coquitlam
5306,Very well maintained 4-bedroom house in Coquitlam,2850,4,2600,Coquitlam
5307,Central Coquitlam Neighbourhood 2 Bedroom Basement Suite,1550,2,800,NA
5308,5 bedroom house for rent,2150,5,2040,Abbotsford
5309,Beautiful 3 BDRM *Pet Friendly* House in Pitt Meadows,2300,3,1657,"Wildwood Cresent, Pitt Meadows"
5310,Great Opportunity  2 Bedroom - King Albert Apartments,1600,2,NA,"King Albert Avenue, Coquitlam"
5311,Beautiful 1 Bedroom - King Albert Apartments,1200,1,NA,"King Albert Avenue, Coquitlam"
5312,2BR / 1bath Coquitlam (Como Lake),1450,2,NA,"Howie Avenue, Coquitlam"
5313,2 BR 2 Bath condo for rent- available Dec 2018,1650,NA,NA,Abbotsford
5314,House upstairs (Large 2 Bdrm suite) Renovated for rent,1650,2,1100,"Marmont Street, Coquitlam"
5315,Renovated House with 2 suites(upstairs/downstairs) close  Lougheedmall,2590,4,2164,"Rochester Avenue, Coquitlam"
5316,One bedroom+Den Apartment  Coq. Center Walk to sky train,1600,1,700,Coquitlam Center
5317,Beautiful 2 BDRM 2 Bath Unit w/Storage Close to Coquitlam Centre,2100,2,969,"Windsor Gate, Coquitlam"
5318,Beautiful 4 BDRM + 1 Den +3.5 Bath House at Westwood Plateau,3200,4,3181,"Plateau Boulevard, Coquitla"
5319,3 Bedrooom 3 Bath House (Main & Upper only) in Albion area Maple Ridge,2100,3,1700,NA
5320,2 Bedroom Brand New Unit at Windsor Gate in Coquitlam,2400,2,965,"Windsor Gate, Coquitlam"
5321,"Newly Renovated 4 BDRM Rancher With 27,060 Sq.Ft. Lot *Pet Friendly*",3500,4,1978,NA
5322,Freshly Renovated Beautiful 7 Bedroom & 6 Bath Whole House MUST SEE!,5600,7,5784,"172 Street, Surrey"
5323,"Furnished 4 BDRM 3.5 Bath House with 3 Car Garage, Pet Friendly!!!",3900,4,3225,"Rosalie Court, Coquitlam"
5324,5 Bedroom + 3 Bath House in Northwest Maple Ridge,2450,5,2120,"Tyner Avenue, Maple Ridge"
5325,Gorgeous 2 BDRM 2 BATH HI-RISE w/Storage Close to Coquitlam Centre,2200,2,809,"Pinetree Way, Coquitlam"
5326,*Estate Style House* 4 BDRM + 5 Bath in Anmore *Pet Friendly* MUST SEE,4000,4,6664,NA
5327,Spacious & Bright 3 BDRM Lower Floor Suite w/Separate Entrance,1600,3,1815,NA
5328,*Pet Friendly* 3 Bedroom & 2.5 Bath Townhouse on Coast Meridian Rd,1900,3,1300,"Coast Meridian Road, Port Coquitlam"
5329,3 bdrm Townhouse at Crescentview***November 15***,2300,3,2150,"Cape Horn Avenue, Coquitlam"
5330,Vanpm.com 2BED 1DEN 1BATH Spacious Westwood Plateau Lower Unit,1400,3,1500,Coquitlam
5331,Vanpm.com 2BED 2BATH Condo at Coquitlam Centre Walk to Skytrain,1995,2,826,Coquitlam Centre
5332,Fully Renovated Downtown Maple Ridge,1250,NA,NA,NA
5333,1bedroom maple ridge,1100,1,NA,NA
5334,Top Level Sunny & Bright 3 bedrooms and a den with 2 bathrooms,2600,3,3800,Coquitlam
5335,1 bed garden suite 850sf,1495,1,850,NA
5336,"Furnished individual suite - 3168 Raleigh Street, Port Coquitlam",1100,1,400,"Raleigh Street, Port Coquitlam"
5337,6 Bedroom House Sets On 8000 Sq.Ft. Lot *Pet Friendly*,2900,6,2496,"207 Street, Maple Ridge"
5338,"4 Bedroom + 3.5 Bathroom House in Port Moody, Pet Friendly!!!",3600,4,3145,"Burrard Crescent, Port Moody"
5339,1 bedroom in Maple Ridge,1100,1,700,Maple Ridge
5340,Upper level - 4 bed 2 bath - Burke Mountain Highland Dr.,2500,NA,1500,"Highland Drive, Burke Mountain"
5341,"Stunning and Trendy, Lg. 1 Bdrm + flex Den Top Floor in Verde Building",1550,1,870,Port Coquitlam
5342,"FURNISHED, LOCATION!Beautiful Modern Fully FURNISHED 3 bedroom house.",3300,3,NA,NA
5343,1 BR & Den (beside Coquitlam Centre)-new price!,1650,1,680,Coquitlam Centre
5344,Bright Spacious 2 Bedroom Corner Suite,1400,2,830,"Gatensbury Street, Coquitlam"
5345,Affordable  single house for rent in Port Coquitlam,2380,3,1600,Port Coquitlam
5346,Quiet well kept house in West Maple Ridge,2380,3,1400,Maple Ridge
5347,2000 square feet  house  for rent,2600,3,2000,NA
5348,basement suite,1200,1,NA,NA
5349,"Beautiful 3 bedroom, 2.5 bathroom unit townhome For Rent - December 15",2200,3,1232,Abbotsford
5350,COQUITLAM CENTER -furnished,2000,1,650,"Johnson Street, Coquitlam"
5351,2 Bed 2 Bath Townhouse,2150,2,1070,Port Coquitlam
5352,3 brd house for rent,2000,3,1500,Port Moody
5353,West Coquitlam Townhouse . 2 Reserved Parking . Near Skytrain & School,2200,2,1130,Burquitlam
5354,1+2 Bed Homes! Free Rent for up to 2 months!,1600,1,607,"Village Drive, Port Coquitlam"
5355,Brand New 1+2 Bed Homes! 2 Months Free Rent!,2000,2,850,"Village Drive, Port Coquitlam"
5356,Basement Suite for Rent,1050,1,NA,NA
5357,Lovely 2br suite,1650,NA,NA,NA
5358,"3 bedroom + 2 bath, Cottonwood area",1600,3,NA,NA
5359,1 Bedroom 1 Bathroom Suite,1400,1,850,Maple Ridge
5360,Brand new 2br suite,1650,NA,1000,NA
5361,Beautiful Custom Built 6 Bdrms Whole House Available Now!!,3500,6,3600,Maple Ridge
5362,$2500 / 2br - 1200ft2 - Furnished Townhouse (Coquitlam),2500,NA,1200,"Glen Drive, Coquitlam"
5363,Brand new 2 Bedrooms legal suite - Burke Mountain,1400,2,NA,Coquitlam
5364,2 bedroom basement,1400,NA,NA,Port Coquitlam
5365,Newly renovated spacious 2 bed-room suite for rent - $1600,1600,2,1260,"238a Street, Maple Ridge"
5366,"Bright, Spacious, Conveniently Located Condo for Rent!",1875,2,950,Coquitlam
5367,"Luxury Home on Heritage Mountain, Port Moody (Furnished)",4500,4,3600,Port Moody
5368,& Den Luxury Home on Quiet Cul-de-Sac - Furnished.,4500,4,NA,Port Moody
5369,Basement Suite in Port Moody - 750sq. ft Available Dec.1,1050,1,NA,NA
5370,1 bedroom for rent,950,1,650,Burquitlam
5371,Whole house in Maple ridge center location,2500,4,2200,NA
5372,Newly Renovated 2 BR Suite on ground floor (Port Coquitlam),1250,2,1000,"Prairie Avenue, Port Coquitlam"
5373,"New renovated house like new, 3 bed + den + 2.5 bath + double garage",2600,3,2000,Port Coquitlam
5374,Ocean view 2nd suite with Hot tub in Port Moody,1850,2,1300,NA
5375,1 bedroom Suites Ground Floor Walk-off in Central Port Coquitlam,1150,1,NA,NA
5376,Port Moody Suite for Rent!,1500,3,1000,Port Moody
5377,Cozy 4 bedroom rancher for Rent!,2700,4,2040,NA
5378,Condo in The Residences for Rent!,2150,2,850,Port Moody
5379,Condo in the Obelisk for Rent!,1900,2,950,Coquitlam
5380,Suter Brook Condo for Rent !,2000,2,1060,Port Moody
5381,Condo in the Aquila for Rent!,1975,2,NA,NA
5382,6 Bdm. House (3 up & 3 Down) Cape Horn,3550,6,3800,Coquitlam
5383,$1600 / 2br - 875ft2 - 2BD SUITE AVAILABLE IN A LARGE EXECUTIVE HOME (,1600,2,NA,NA
5384,HANEY'S LANDING Top Level Townhouse!,1175,3,NA,NA
5385,2 bdrm 1 bath basement Brand new unit,1150,2,NA,NA
5386,The Frontenac Amazing Views North Coq!,1125,3,NA,NA
5387,Klahanie Condo For Rent!,2000,2,961,Port Moody
5388,1 Bedroom Suite,1100,1,700,Maple Ridge
5389,2 Bedroom Apartment,2300,2,1050,NA
5390,Bright 2 bedroom 1 bathroom - Coquitlam Burke Mountain,1550,2,900,Burke Mountain
5391,2 Bedroom House Big Yard,1350,2,1100,Maple Ridge
5392,1 Bedroom Available immediately,1150,1,NA,Pitt Meadows
5393,"(VANCOUVERLUXURYRENTALS.COM)Port Moody Furnished 3BR+Den Home, NOW~",4500,3,3600,NA
5394,Large 1 Bedroom  Basement Suite,1200,NA,NA,Maple Ridge
5395,2473 Atkins Ave (Valore on the Park),NA,NA,505,Port Coquitlam
5396,UPDATED ONE BEDROOM SUITE AVAILABLE NOW,1400,1,700,"Howie Avenue, Coquitlam"
5397,$1000 - Ground level (Main floor ) suite for Rent,1000,1,1100,Maple Ridge
5398,$1500/month 2 bedrooms downstairs in Coquitlam,1500,2,1200,"Tanager Court, Coquitlam"
5399,Small Family Alert 2 bedroom in best location!-Pitt Meadows Feb,1795,2,900,"Doerksen Drive, Pit Meadows"
5400,Burquitlam - 1 Bed 1 Bath Suite - Avail Dec. 1!(540 Smith Ave),1100,1,NA,"Smith Avenue, Coquitlam"
5401,COQUITLAM SUITE FOR RENT,1500,2,1100,Coquitlam
5402,House 4bed+2 bath Austin avenue,2400,4,2800,NA
5403,Spacious 2 Bedroom apartment available Dec 1st @ Maple Court,1200,2,800,Maple Ridge
5404,CREEK'S CROSSING EXECUTIVE HOME,2400,3,3090,"241 Street, Maple Ridge"
5405,Apartments for rent in Coquitlam,950,NA,NA,Coquitlam
5406,Spacious 1 Bedroom apartment available Dec 1st @ Maple Court,1050,1,600,Maple Ridge
5407,"One Bedroom and Bath basement suite for rent - Available Jan. 15, 2019",1100,1,550,Central Coquitlam
5408,1 bedroom apartment near Lougheed Mall - available December 1,1300,1,650,"Westview Street, Coquitlam"
5409,Suite for rent in Central Coquitlam,1000,1,NA,NA
5410,Belmont Properties - Rochester Apartments,1250,1,NA,Coquitlam
5411,3bdrm  /3 levels Townhouse at Crescentview Nov 1 or 15,2300,3,2150,"Cape Horn Avenue, Coquitlam"
5412,Executive 5 Bedroom House Fully Furnished with Stunning Views!,3450,5,3500,"Westwood Plateau, Coquitlam"
5413,Beautiful 5 BDRM 3.5 Bath House With Views At Prime Westwood Plateau,3200,5,3272,"Marble Court, Coquitlam"
5414,2 bedroom 1 bathroom basement suite,1290,2,930,"Coquitlam, Westwood Plateau"
5415,AVAILABLE NOVEMBER 15TH! Klahanie 2 Bed/Den Suite for RENT,2050,2,975,Vancouver
5416,Main Floor 1br suite,1350,1,965,Coquitlam
5417,Beautiful 2 BDRM/2 Bath/2 Parking Unit w/Storage,2100,2,837,"Nootka Way, Port Moody"
5418,SPACIOUS 2 Bedroom Suite,1700,2,NA,NA
5419,HOUSE WITH VIEW WEST CENTRAL,2250,3,2340,Maple Ridge
5420,PROTECTION PROPERTY MGMT- Renovated 4 Bed Duplex! Ref# 3517C,2250,4,2000,"Coast Meridian Road, Port Coquitlam"
5421,Like NEW 1 BD  @ Crown available December  01st.,1600,1,610,"Como Lake Avenue, Coquitlam"
5422,Stunning 5 BR & Office executive Home @ Westwood Plateau / Coquitlam,3600,5,3900,"Parkway Boulevard, Coquitlam"
5423,"New 2 Bedroom Basement Suite 1100 Sq. Ft. - Maple Ridge, BC",1400,2,1100,Maple Ridge
5424,Burke Mountain town house for rent,2300,3,1380,Coquitlam
5425,brand new 2 Bedrooms 1 Bathroom legal suite burke mountain,1400,2,750,NAMcvicar Court
5426,*GORGEOUS 5 BEDROOM HOME FOR RENT IN COQUITLAM!*,3000,5,2800,NA
5427,3400 SQ.FT 4 BED/3 BATH HOME IN PORT MOODY,4000,4,3400,"Hycroft Street, Port Moody"
5428,MCALLISTER APARTMENTS,1250,1,NA,Port Coquitlam
5429,4Bed+3Bath Spacious House Garage Lougheed mall skytrain,2700,4,2800,"Cariboo Road, Coquitlam"
5430,3Bed+2Bath spacious semi-basement,1450,NA,1400,Central Coquitlam
5431,Living in the Core - 1 Bd & Den w/Stunning View,1700,1,696,Coquitlam Center
5432,"2 and 3 Bedroom Townhome Community - Woodland Park - Port Moody, BC",1824,2,1050,Port Moody
5433,SPACIOUS 2 BEDROOM AND DEN VIEW SUITE,2200,2,1303,Coquitlam
5434,Renaissance on Shaw,1050,1,700,NA
5435,West Coquitlam House For Rent,2700,4,2000,Coquitlam
5436,Beautiful Newer 4 Bedroom House,2300,4,NA,Maple Ridge
5437,Two bedrooms suite Coquitlam,1600,NA,NA,NA
5438,Modern Stylish Furnished Condo with Mt & Water View,3200,2,1100,Port Moody
5439,Live in a NEW 2 bedroom suite unit built by BOSA!,2200,2,NA,Coquitlam
5440,READY NOW! Live in a NEW 2 bedroom suite unit built by BOSA!,2200,2,NA,Coquitlam Centre
5441,1 Bedroom Basement Suite ground Level,950,1,850,Maple Ridge
5442,"Beautiful home w/ huge garden, upper floor 3 bedrooms avail. now",2275,3,1300,Port Coquitlam
5443,1 bedroom basement suite close to WestCoast Express,1300,1,900,Maple Ridge
5444,1 Bedroom Basement Suite,980,1,850,"Ross Drive, Coquitlam"
5445,920 Sq. Ft. Penthouse 1 Bdr + Massive Den,2500,1,920,Coquitlam
5446,Near Coquitlam center 3 bedrooms suite for rent $1500.,1500,3,1000,NA
5447,$1450 / 2br - 1300 Sqft - 2 Beds Suite - Coquitlam (West Pla,1450,2,1300,NA
5448,Spacious One Bedroom Suite @ Central Maple Ridge,850,1,NA,Maple Ridge
5449,2 BR basement in newer home for rent,1700,2,NA,Coquitlam
5450,"MARY HILL - Ground LEVEL - 2BR - Nice, Bright, Clean Suite",1495,2,800,Port Coquitlam
5451,Spacious 2 Bedroom With 180 Degree View,2500,2,927,West Coquitlam
5452,"LUXURY CONDO  ""ONLY 4 YEARS OLD BUILDING"" 2975 Atlantic Avenue",1700,1,600,"Atlantic Avenue, Coquitlam"
5453,Brand new 2 bdrm bsmt suite,1200,2,908,Pitt Meadows
5454,Cozy 4 Bedroom Townhouse for Rent,2700,4,2000,Coquitlam Center
5455,FULLY RENOVATED 3 BEDROOM 2 BATH HOUSE,2500,3,1500,Coquitlam
5456,Brand new one bedroom basement suite for rent,1200,1,750,West Ridge
5457,PROTECTION PROPERTY MGMT-Short Term Rental 2 bd Condo REF#1173082,2800,2,1050,"Dayanee Springs Boulevard, Coquitlam"
5458,PROTECTION PROPERTY MGMT - 5 Bed House with suite! Ref#3126SF,3600,5,3800,"Silverthrone Drive, Coquitlam"
5459,PROTECTION PROPERTY MGMT - Central Coquitlam Townhome - Ref# 113190,2150,3,1800,"Tahsis Avenue, Coquitlam"
5460,3500 SQ.FT 5 BED/3 BATH HOME IN PORT MOODY,4000,6,3500,"Thurston Close, Port Moody"
5461,RENOVATED 7 BEDROOM + DEN/4 BATHROOM HOUSE IN PORT MOODY,4500,7,4540,NA
5462,LARGE HOME ON 1 ACRE IN ANMORE,4500,5,5200,NA
5463,PROTECTION PROPERTY MGMT - Beautiful 4 Bedroom Home - Ref #3126S,3000,4,3004,"Silverthrone Drive, Coquitlam"
5464,Welcome to the Shaughnessy! Overlooking Lions Park!,1015,1,NA,Port Coquitlam
5465,PROTECTION PROPERTY MGMT - 2 BED & FLEX - REF# 3031972,1850,2,819,"Suffolk Avenue, Port Coquitlam"
5466,BRAND NEW 1 Bedroom Groud Floor Suite (port coquitlam),2000,1,850,NA
5467,"WL396  Ground level 2 br House for rent, utilities included",1400,2,1000,"Peterson Avenue, Coquitlam"
5468,PROTECTION PROPERTY MGMT- 2 Bedroom & DenCondo - Ref#2081972,1875,2,917,"Suffolk Avenue, Port Coquitlam"
5469,"Luxury Newer 4Bd, 4Bath TH w/private large yard on greenbelt",3000,4,1900,"Burke Mountain, Coquitlam"
5470,New Fully Renovated Elegant Two Bedroom Suite for Rent $1800,1800,2,950,"Howie Avenue, Coquitlam"
5471,$1800 2 BEDROOM SUITE...Hydro Included<f0><U+009F><U+0098><U+0081> (Austin),1800,2,745,Coquitlam
5472,BRAND NEW DOWNTOWN CHILLIWACK TOWNHOUSE 3 BED+REC ROOM,2150,3,1815,Chilliwack
5473,"3 BR / 2 Bath well Finished Main/upper floor of Home,  For Rent",2200,3,1400,Port Coquitlam
5474,2 BEDROOM APARTMENT SUITE AVAILABLE FOR RENT FROM NOV 15TH,1850,2,785,"Nootka Way, Port Moody"
5475,Sweet 5 BDRM 3.5 Bath House w/Basketball Court *Only One Year Old*,3600,5,3900,"Argyle Street, Coquitlam"
5476,Cozy 3Bedroom Upper Level,2200,3,1500,Coquitlam
5477,Comfortable 3 Bedroom For Rent,2200,3,NA,Coquitlam
5478,Stunning 2bed + 2bath condo in Emerson building!,2000,2,885,Burquitlam
5479,Student homestay,1000,NA,NA,Coquitlam
5480,Completely Renovated 1 Bedroom First Floor Suite,1200,1,700,Maple Ridge
5481,1 Bedroom Suite,1100,NA,NA,"Brunette Avenue, Coquitlam"
5482,"Fitness Room, Stainless steel appliances",1975,2,888,NA
5483,Cozy 3 Bedroom (Burquitlam/Lougheed Skytrain ),1780,3,1300,"Gatineau Place, Burquitlam"
5484,"Professionally managed from leasing to Home Care, Great Room",1975,2,888,NA
5485,Coquitlam Basement Suite,1600,2,1000,NA
5486,"2 Bed, 1 Bath, Penthouse condo",1795,NA,NA,"Pacific Street, Coquitlam"
5487,bachelor  suite for sfu student,800,1,250,Port Moody
5488,Cozy house for homestay students,1100,3,NA,NA
5489,Large 2 Bedroom Apartment,1250,2,NA,NA
5490,1bed1bath base for rent,1100,1,NA,NA
5491,house  in port moody,2200,3,1500,Port Moody
5492,"Unfurnished, spacious two bedroom 1 bath ground floor suite.",1350,2,800,"Glenwood Drive, Burnaby"
5493,Coquitlam BurkeMountainHouse with Second Suite for Rent (HID 4001),3900,6,3589,"Gislason Avenue, Coquitlam"
5494,Brand new 2 Bedrooms legal suite on burke mountain,1400,2,NA,NA
5495,"Sub Penthouse, VIEW, VIEW",2800,2,NA,Atlantic Avenuenue
5496,Cozy 2Br suite,1650,2,1000,NA
5497,Ground level 1 Bedroom suite,1200,NA,NA,Port Coquitlam
5498,"2 Bedroom or 3 Bedroom Suites Rentals in Burnaby, Coquitlam",1700,2,NA,NA
5499,Coquitlam 2 Bedroom Condo - Close to Lafarge Lake Sky Train Station,2300,2,956,Westwood Plateau
5500,<U+25AC><U+25AC><U+25BA> Welcome Home to Cottonwood Lodge - DEC 1,1125,1,NA,"Cottonwood Avenue, Coquitlam"
5501,5 Bed Room house for rent 1 of  December $2975.00,2975,5,2500,Maple Ridge
5502,2 bedroom guest suite for rent on second floor,900,2,850,Port Coquitlam
5503,house for tent,2975,5,2500,Maple Ridge
5504,basement of house for rent,1400,2,1200,Maple Ridge
5505,Beautiful House with 3 BR & 2.5 Bath *Unfurnished* @mapleridge,2900,3,3462,"Foreman Drive, Maple Ridge"
5506,Gorgeous House with very Fancy finishes (Unfurnished) @MapleRidge,2800,3,3462,NA
5507,"Renovated Ground Floor For Rent-Utilities, Telus Cable/Internet Incl.",1500,1,1000,Pitt Meadows
5508,Brand new 2 br suite,1650,2,1000,NA
5509,One year new 4 bd+1den house for rent,2950,4,3400,Maple Ridge
5510,New Renovated Units in Chilliwack for Rent,1300,2,900,Chilliwack
5511,"2 Bedroom, 1 Bathroom Legal Suite Burke Mountain",1700,2,750,Coquitlam
5512,Renovated Family House for rent - 3Bds in nice and quiet neighborhood,2450,3,NA,"Oxbow Way, Coquitlam"
5513,2018 renovated 4 bedrooms bright and spacious upper-level for rent,2600,4,2000,NA
5514,Spacious bedroom suite ground level (shared kitchen),1000,1,NA,Westwood Plateau
5515,2 bedroom 2 full bathroom Corner Unit Apartment,2300,2,900,Coquitlam
5516,2br - 800ft² - Sahalee High Rise Condo on the 22nd Floor,2100,2,800,Port Moody
5517,"$2600 , townhouse 3 BR,2.5 bath,heart of Coquitlam city center",2600,3,1368,"Kensal Place, Coquitlam"
5518,Top level South-East facing suite next to bus library community,2100,4,1900,Central Coquitlam
5519,Top floor suite busy Crossroad 2' walk to community/library/bus,2500,3,1900,NA
5520,New Coach Home,1350,1,550,Coquitlam
5521,2 Bedroom Basement Suite,1400,2,1250,NA
5522,New Coach House (suite),1600,2,1000,Maple Ridge
5523,1bedroom basement suite,825,1,650,Coquitlam
5524,$1650 / 1br - 609ft2 - 1 Bedroom 1 Den Apartment,1650,1,609,"Glen Drive, Coquitlam"
